Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8
The Price of Loyalty: George W. Bush, the White House, and the Education of Paul O'Neill;By Suskind, Ron;; Political Science , Government , Executive Branch;Simon & Schuster;8.79;January;2004
Best New American Voices 2003;By Kulka, John (EDT), Danford, Natalie (EDT), and Oates, Joyce Carol (EDT);Since its launch in 2000, the Best New American Voices series has been acclaimed for the range and originality of its selections, which represent the writers who promise to become the literary stars of tomorrow. The 2003 collection continues the tradition, featuring innovative, powerful stories selected by one of our finest writers of contemporary fiction, Joyce Carol Oates. With pieces culled from more than one hundred prestigious writing programs around the country and Canada, including the Iowa Writers' Workshop and the Sewanee Conference, this volume showcases a remarkable array of talent--and offers the excitement of discovering a new generation of writers.A Harvest Original; Fiction , Anthologies (multiple authors);Harvest Books;5.29;October;2002
Escape from the CIA: How the CIA Won and Lost the Most Important KGB Spy Ever to Defect to the U.S.;By Kessler, Ronald;; Political Science , General;Pocket Books;5.29;April;1991
Meditations: On the Monk Who Dwells in Daily Life;By Moore, Thomas;Sometimes in their chanting monks will land upon a note and sing it in florid fashion, one syllable of text for fifty notes of chant. Melisma, they call it.Living a melismatic life in imitation of plainchant, we may stop on an experience, a place, a person, or a memory and rhapsodize in imagination. Some like to meditate or contemplate melismatically, while others prefer to draw, build, paint, or dance whatever their eye has fallen upon.Living one point after another, is one form of experience, and it can be emphatically productive. But stopping for melisma gives the soul its reason for being.; Religion , General;HarperCollins;4.99;November;1994
Links Lore;By Stevens, Peter F.;; Sports & Recreation , History;POTOMAC BOOKS;5.29;June;2000
Jackie by Josie: A Novel;By Preston, Caroline;Follows a thirtyish graduate who unexpectedly finds herself helping a celebrity biographer research the life of Jacqueline Kennedy Onassis, and ends up discovering surprising parallels between her own life and that of the queen of Camelot; Fiction , Literary;Scribner;4.99;March;1998
Joshua and the City;By Girzone, Joseph F.;A contemporary city faces turmoil and devastation until it is visited by the serene figure of Joshua, who presents an alternative, love-based approach to life while addressing such issues as poverty, racism, and AIDS. 150,000 first printing. $150,000 ad/promo.; Religion , Inspirational;Doubleday;5.29;March;1995
The Book of Courtly Love: The Passionate Code of the Troubadours;By Hopkins, Andrea;A treasury of French medieval lore combines the tales of Lancelot and Guinevere, Tristan and Isolde, Troilus and Criseyde, and several songs and poems with sixty accompanying illustrations from classic manuscripts and romantic art.;;HarperCollins;5.29;November;1994
How Good Do We Have to Be? A New Understanding of Guilt and Forgiveness;By Kushner, Harold S.;From the author of When Bad Things Happen to Good People comes an inspiring new bestseller that puts human feelings of guilt and inadequacy in perspective - and teaches us how we can learn to accept ourselves and others even when we and they are less than perfect. How Good Do We Have to Be? is for everyone who experiences that sense of guilt and disappointment. Harold Kushner, writing with his customary generosity and wisdom, shows us how human life is too complex for anyone to live it without making mistakes, and why we need not fear the loss of God's love when we are less than perfect. Harold Kushner begins by offering a radically new interpretation of the story of Adam and Eve, which he sees as a tale of Paradise Outgrown rather than Paradise Lost: eating from the Tree of Knowledge was not an act of disobedience, but a brave step forward toward becoming human, complete with the richness of work, sexuality and child-rearing, and a sense of our mortality. Drawing on modern literature, psychology, theology,,and his own thirty years of experience as a congregational rabbi, Harold Kushner reveals how acceptance and forgiveness can change our relationships with the most important people in our lives and help us meet the bold and rewarding challenge of being human.; Religion , Psychology of Religion;Back Bay Books;4.99;September;1997
Eat More, Weigh Less: Dr. Dean Ornish's Life Choice Program for Losing Weight Safely While Eating Abundantly;By Ornish, Dean and Brown, Shirley Elizabeth (EDT);; Cooking , Health & Healing , Low Fat;William Morrow Paperbacks;5.29;December;2000
Majorca: Culture and Life;By Konemann Inc. (EDT);; Photography , Subjects & Themes , Regional;Konemann;8.83;June;2000
Written by Herself: Autobiographies of American Women: An Anthology;By Conway, Jill Ker (EDT);The bestselling author of The Road from Coorain presents an extraordinarily powerful anthology of the autobiographical writings of 25 women, literary predecessors and contemporaries that include Jane Addams, Zora Neale Hurst, Harriet Jacobs, Ellen Glasgow, Maya Angelou, Sara Josephine Baker, Margaret Mead, Gloria Steinem, and Maxine Hong Kingston.; Biography & Autobiography , Women;Vintage;4.99;November;1992
The Universe of Galaxies;By Hodge, Paul;;;W H Freeman & Co;5.29;October;1984
Ice Bound: A Doctor's Incredible Battle For Survival at the South Pole;By Nielsen, Jerri and Vollers, Maryanne;; Biography & Autobiography , Women;Miramax;4.89;January;2002
Healing Benefits of Garlic;By Heinerman, John;; Cooking , Specific Ingredients , Herbs, Spices, Condiments;Gramercy;4.99;July;1995
Me and Ted Against the World : The Unauthorized Story of the Founding of CNN;By Schonfeld, Reese;; Business & Economics , Management;Harperbusiness;4.99;February;2001
Magnet Therapy: The Pain Cure Alternative;By Lawrence, Ronald Melvin, Plowden, Judith, and Rosch, Paul;; Medical , Holistic Medicine;Prima Pub;5.29;March;1998
Controlling Cholesterol: Dr. Kenneth H. Cooper's Preventative Medicine Program;By Cooper, Kenneth H.;; Health & Fitness , Diet & Nutrition , Food Content Guides;Bantam;5.29;February;1989
George Meany And His Times: A Biography;By Robinson, Archie;Draws on interviews and unpublished documents to re-create the life and times of the outspoken and influential labor leader and the drama of the labor movement in which he played a central role; Biography & Autobiography , General;Simon & Schuster;4.99;January;1982
American Dreams: Lost & Found;By Terkel, Studs;A cross-section of Americans--from an embittered Miss America to Arnold Schwarzenegger, from Jesse Helms to a KKK member, from businessmen and Brahmins to activists and immigrants--speak of their hopes, expectations, and disappointments;;Pantheon;10.99;August;1980
Sharing the Pie : A Citizen's Guide to Wealth and Power;By Brodner, Steve (ILT) and Brouwer, Steve;; Business & Economics , Economic Conditions;Holt Paperbacks;5.29;May;1998
Love, Love, and Love;By Bernhard, Sandra;"Even if you know Sandra Bernhard as an actress, singer, comedian, and performer, you're in for quite a shock with this, her second book. A mix of memoir, fiction, invented memoir, and fiction that rings with the truth, Love Love and Love charts the state of romance, sex, and relationships - the need to love and be loved - in several cities, and several sexes, around the world. The same biting wit, fragile irony, and arresting candor of Sandra's performances are all here, but Love Love and Love is also filled with an intimacy and an insight that are all new... and all Bernhard.Here are the stories of a relationship built on the weapon of romance; of an elusive girl, and the various drugs she gives and takes; of dreams and daydreams that melt into truth; of the touch of a lover's skin at the break of dawn; and of all the pain and cruelty that go along so well with the ecstasy we all want to possess. This is a book about relationships born of chance meetings on the street at night; about sexual obsessions, frayed emotions, and haunting memories of both the quick and the dead. Love Love and Love is by turns shocking and exhilarating, angry and passionate, analytical and sexy; it's all about that strange state of being that merges sensations only of the moment with an emotion that has existed since the birth of humankind.As Sandra herself notes: ""Love is the only shocking act left on the face of the earth.""";;HarperCollins;5.29;August;1993
Conflicting Accounts: The Creation and Crash of the Saatchi and Saatchi Advertising Empire;By Goldman, Kevin;On December 16, 1994, a bloodletting took place in the stylish sixth-floor boardroom at Saatchi & Saatchi Company PLC, once the world's largest advertising agency holding company. Maurice Saatchi, the 48 year-old chairman who co-founded the company in 1970 with his older brother Charles, was fired by the board of directors under threat by the firm's largest shareholders. Less than a month later, Maurice started a rival ad agency and quickly snapped up former Saatchi & Saatchi clients, most importantly British Airways. Kevin Goldman, the former daily advertising columnist for the Wall Street Journal, spoke to everyone connected with this headline-making saga -- including Maurice Saatchi and his reclusive brother Charles -- and witnessed important business meetings, including Maurice Saatchi's winning pitch to British Airways. Goldman traces every step the Saatchi brothers took, from their youth as Iraqi Jewish immigrants in North London to their business merger in 1970, when, with little more than sheer audacity, the opened an ad agency with a full-page announcement ad in the London Sunday Times. Through bold and brash actions, the agency began an acquisitions binge, taking over many of the ad industry's giants -- including Ted Bates, Backer & Spielvogel, Dancer Fitzgerald Sample, and Garland-Compton -- to become the number one ad company in the world. But, once they acquired a company, the brothers lost interest, often refusing to meet with its executives again. This disdain would come back to haunt them. Also chronicled is the brothers' rich lifestyle, which critics claim was funded by the company. This tale features a rich cast of supporting players: Jeremy Sinclair, a creative advertising genius who was fiercely loyal to the brothers, was one of the executives who resigned after Maurice was fired. Bill Muirhead, another loyalist, was responsible for keeping clients happy. Robert Louis-Dreyfus, a globe-trotting native of France, was brought in by the Saatchis in 1989 when the company was teetering on the edge of bankruptcy. Louis-Dreyfus brought in Charles Scott, a self-described numbers cruncher uncomfortable with the glitzy world of advertising, to help sort out the company's complex finances. And leading the anti-Maurice movement was David Herro, a thirty-three-year-old American money manager whose group owned approximately 10 percent of Saatchi stock. Built into the Saatchi story is the bigger picture of the dramatic changes in advertising in the 1980s, such as the merger mania and ad agency consolidations that swept Madison Avenue, including the British takeover of major agencies. The story of the decline and crash of Saatchi & Saatchi is a universal tale of corporate greed and ineffective management. It is the story of an ugly, publicly fought civil war in an industry that is supposed to know the steep price paid for an image run amok.; Business & Economics , Advertising & Promotion;Touchstone;5.29;January;1998
What Went Wrong at Enron: Everyone's Guide to the Largest Bankruptcy in U.S. History;By Fusaro, Peter C. and Miller, Ross M.;; Business & Economics , Finance , General;Wiley;5.29;June;2002
The Addictive Organization: Why We Overwork, Cover Up, Pick Up the Pieces, Please the Boss, and Perpetuate S;By Schaef, Anne Wilson and Fassel, Diane;; Psychology , General;HarperOne;4.99;October;1990
From the Silent Earth: A Report on the Greek Bronze Age;By Joseph Alsop;;;Harper & Row;6.22;January;1964
Panic Disorder and Its Treatment (Medical Psychiatry Series);By Pollack, Mark H. (EDT) and Rosenbaum, J. F. (EDT);Practical in approach and up to date in content, Panic Disorder and Its Treatment provides a clear and clinically relevant summary of the current knowledge on this challenging illness, covering symptoms, care, cost, comorbidities, and quality of life. Contains algorithms and tables offering at-a-glance drug treatment options and an appendix with measures for assessing symptom severity and therapeutic response! Written by leading authorities on the etiology, course, and management of this condition, Panic Disorder and Its Treatmentpromotes improved recognition of symptoms in pychiatric and nonpsychiatric settings, including the primary care physician's office or the emergency room reviews evidence from numerous sources on the prognosis of panic disorder, emphasizing the potential for chronicity and recurrence examines the latest advances implicating neurochemical, neurophysiological, and functional neuroanatomical abnormalities in the pathogenesis of panic disorder analyzes risk factors for the illness, including genetics, temperment, developmental experiences, and life events explores available pharmacotherapies for panic disorders, including selective serotonin-reuptake inhibitors investigates panic attacks and panic disorder from a cognitive-behavioral perspective, detailing specific therapies targeted to control physical sensations presents clinical strategies for treatment-refractory patients, assuring optimal diagnostic and therapeutic efforts for nonresponders and more! Panic Disorder and Its Treatment serves as insightful reading for psychiatrists and behavioral scientists, clinical psychopharmacologists, neuropsychiatrists, clinical psychologists, clinical social workers, and medical students, residents, and fellows in these disciplines. It is also useful for primary care physicians, including internists, family doctors, and generalists, as well as emergency room staff, who are often the first health care professionals to evaluate the patient.; Psychology , Psychopathology , General;Informa Healthcare;5.41;May;1998
Henry VIII (English Monarchs Series);By Scarisbrick, J. J.;This detailed biography concentrates on the domestic life of the monarch, foreign affairs in which he was involved and his influence on religion. Bibliogs; Biography & Autobiography , Military;University of California Press;5.47;October;1972
The Moral Intelligence of Children;By Coles, Robert;The award-winning author of The Spiritual Life of Children shares his thoughts on how to teach morality to children, defining moral intelligence and explaining how to foster a child's conscience and spiritual growth. 75,000 first printing. Tour.; Psychology , General;Random House;5.29;January;1997
Concordance to the New English Bible, New Testament,;By Elder, E;;;Zondervan Pub. House;10.99;January;1965
Life at the Edge: Readings from Scientific American Magazine;By Gould, James L. and Gould, Carol Grant (EDT);Readings from  Scientific American  on life in extreme environments. Annotation copyright Book News, Inc. Portland, Or.;;W H Freeman & Co;4.99;April;1989
Cook Healthy: Cook Quick;By Wesler, Cathy A.;; Cooking , Health & Healing , Low Fat;UNKNO;5.18;January;1995
Images Of War: The Artist's Vision of World War II;By McCormick, Ken;;;Orion Books;10.02;October;1990
Becoming Soul Mates: Cultivating Spiritual Intimacy in the Early Years of Marriage;By Parrott, Les;"Every couple has a restless aching, not just to know God individually but to experience God together. But how? How do you really allow God to fill the soul of your marriage? Becoming Soul Mates gives you a road map for cultivating rich spiritual intimacy in your relationship. Written by the creators of the dynamic Saving Your Marriage Before It Starts book and program, becoming Soul Mates is a unique and insightful devotional that helps you dig deep for a strong spiritual foundation in your marriage. Fifty-two practical weekly devotions help you and your partner cross the hurdles of marriage to grow closer than you&apos;ve ever imagined. In each session, you&apos;ll find: - An insightful devotion that focuses on marriage-related topics - A key passage of Scripture - Questions that will spark discussions on crucial issues - Insights from real-life soul mates like Pat and Shirley Boone, Bill and Vonette Bright, Norm and Joyce Wright, and John and Barbi Townsend - Questions that will help you and your partner better understand each other&apos;s unique needs and remember them in prayer during the week - A brief prayer that will help you both draw closer together and close to God. Becoming Soul Mates is a valuable resource for mining the rich potential of your marriage. Its principles, proven in the Parrotts&apos; own relationship, will help you make your journey as a couple all God intends it to be. With the strength that comes from a deeply shared spiritual intimacy, your marriage can flourish in the midst of life&apos;s challenges. Start building on the closeness you&apos;ve got today -- and reap the rewards of a deeper, more satisfying relationship in the years ahead."; Family & Relationships , Reference;Zondervan;5.29;October;1995
Care of the Soul : A Guide for Cultivating Depth and Sacredness in Everyday Life;By Moore, Thomas;A therapist draws on the world's religions, music, art, and his own experiences with patients to examine the connections between spirituality and the problems of individuals and society. Reprint. 150,000 first printing. $200,000 ad/promo.; Self-help , General;HarperPerennial;4.99;January;1994
Victims of Progress;By Bodley, John H.;;;Cummings Pub.Co.;4.99;September;1975
Inside the Tornado: Marketing Strategies from Silicon Valley's Cutting Edge;By Moore, Geoffrey A.;"""The chasm is where high-tech fortunes are lost... the tornado is where they are made.""-- Steve Jobs, Founder & CEO, Next Computer, Inc.    Now, in this fascinating sequel, Moore shows how to capitalize on the profit-rich niches and hyper-growth markets beyond the chasm. Continuing to chart the impact of the Technology Adoption Life Cycle, he explores its effects not just on marketing but on overall business planning, especially strategic partnerships, competitive advantage, positioning and organizational leadership. Moore's most startling lesson is: ""As markets move from stage to stage in the Life Cycle, the winning strategy does not just change -- it actually reverses the prior strategy. The very skills that you've just perfected become your biggest liabilities; and if you can't put them aside to acquire new ones, then you're in for tough times."" As challenging as this lesson is to apply, Moore leads the way. Using actual examples of cutting-edge firms, he applies the Life Cycle model to all aspects of managing a market-focused business strategy, including how to manage people effectively through each phase of the cycle. There are significant management implications: Chasm-crossers who love the customer intimacy of niches may rebel against the depersonalizing power of the tornado; tornado managers who relish the gales of hyper-growth may resist the inevitable return to the niche, in the guise of mass customization, once the rush to the new paradigm subsides. All industries relying on technology -- not just computer hardware, software and telecommunications, but entertainment, publishing, broadcasting, banking, insurance, health care, aerospace, defense, utilities, pharmaceuticals and retail -- must master Moore's lessons to see the year 2000. If you are marketing technology-based products or managing the people who do, then you will find yourself Inside the Tornado."; Business & Economics , Marketing , General;Harper Business;5.29;October;1995
Sunset at Rosalie: A Novel;By McLaughlin, Ann L.;Tells the story of a young girl and her family's country life in Mississippi during the years prior to World War I; Fiction , General;Daniel & Daniel Pub;5.0;June;1996
The Girlfriends' Guide to Surviving the First Year of Motherhood, Packaging May Vary;By Iovine, Vicki;"When it comes to your new baby, everyone from Dr. Spock to Dr. Brazleton has an armful of advice. But no one's delivering any tips on how you can care for yourself. Now, four-time delivery room veteran Vicki Iovine answers your questions, calms your fears, and cracks you up as only a girlfriend can, with straight advice and hilarious observations on... ""Baby euphoria"": Is it a mind-altering drug?""Husband? What Husband?"": Taking care of the big baby, as well as the little baby""I Want My Old Body Back!"": What you can fix and what you can't""The Droning Phenomenon"": The inability to discuss anything but your baby for more than thirty seconds""Do I Have to Become Carol Brady?"": Conquering your fear of being a less-than-perfect mother""Competitive Mothering"": Coping with know-it-alls, finger-pointers, and others who try to ""Out-Mom"" youNOTE: Pausing to read this book may be the only selfish thing you do all year, since you'll have time for nothing else!"; Family & Relationships , Parenting , Motherhood;TarcherPerigee;4.99;October;1997
